,,,,Govt., ,Govt.,Corporate,,,Small,,,,,,,,,,,
,S&P,,S&P,Bond,Govt,Bond,Bond,T-Bill,,Stocks,,,,,,,,,,,
,Total,S&P,Capital,Total,Bond,Capital,Total,Total,Inflation,Total,,,,,,,,,,,
Year,Return,Dividends,Gain,Return,Interest,Gain,Return,Return,Rate,Return,,,,,,,,,,,
1926,0.11130,0.05409,0.05721,0.07636,0.03728,0.03908,0.07374,0.03267,-0.01490,0.00277,,,,,,,,,,,
1927,0.36621,0.05709,0.30912,0.08807,0.03411,0.05396,0.07465,0.03125,-0.02079,0.22082,,,,,,,,,,,
1928,0.42696,0.04814,0.37882,0.00096,0.03219,-0.03123,0.02841,0.03558,-0.00965,0.39696,,,,,,,,,,,
1929,-0.07926,0.03984,-0.11910,0.03275,0.03475,-0.00200,0.03273,0.04748,0.00195,-0.51359,,,,,,,,,,,
1930,-0.23915,0.04571,-0.28486,0.04605,0.03326,0.01279,0.07866,0.02410,-0.06042,-0.38147,,,,,,,,,,,
1931,-0.41722,0.05345,-0.47067,-0.05135,0.03329,-0.08464,-0.01961,0.01073,-0.09524,-0.49754,,,,,,,,,,,
1932,-0.08991,0.06157,-0.15148,0.16625,0.03685,0.12940,0.10820,0.00962,-0.10298,-0.05390,,,,,,,,,,,
1933,0.52974,0.06385,0.46589,-0.00021,0.03118,-0.03139,0.10484,0.00298,0.00510,1.42863,,,,,,,,,,,
1934,-0.01484,0.04457,-0.05941,0.09940,0.03179,0.06761,0.13956,0.00163,0.02031,0.24223,,,,,,,,,,,
1935,0.46318,0.04949,0.41369,0.04952,0.02810,0.02142,0.09626,0.00169,0.02996,0.40194,,,,,,,,,,,
1936,0.33285,0.05362,0.27923,0.07420,0.02777,0.04643,0.06744,0.00178,0.01208,0.64799,,,,,,,,,,,
1937,-0.33936,0.04656,-0.38592,0.00183,0.02663,-0.02480,0.02757,0.00308,0.03103,-0.58008,,,,,,,,,,,
1938,0.30047,0.04834,0.25213,0.05472,0.02642,0.02830,0.06133,-0.00016,-0.02789,0.32799,,,,,,,,,,,
1939,-0.00758,0.04693,-0.05451,0.05882,0.02400,0.03482,0.03977,0.00021,-0.00476,0.00347,,,,,,,,,,,
1940,-0.09927,0.05365,-0.15292,0.05995,0.02228,0.03767,0.03394,0.00005,0.00957,-0.05155,,,,,,,,,,,
1941,-0.11143,0.06721,-0.17864,0.00929,0.01943,-0.01014,0.02731,0.00060,0.09716,-0.09000,,,,,,,,,,,
1942,0.19220,0.06792,0.12428,0.03197,0.02461,0.00736,0.02598,0.00269,0.09287,0.44508,,,,,,,,,,,
1943,0.25692,0.06245,0.19447,0.02054,0.02441,-0.00387,0.02822,0.00347,0.03162,0.88373,,,,,,,,,,,
1944,0.19281,0.05485,0.13796,0.02783,0.02460,0.00323,0.04743,0.00331,0.02107,0.53722,,,,,,,,,,,
1945,0.35697,0.04974,0.30723,0.10624,0.02349,0.08275,0.04076,0.00330,0.02252,0.73611,,,,,,,,,,,
1946,-0.07774,0.04093,-0.11867,-0.00110,0.02041,-0.02151,0.01723,0.00354,0.18165,-0.11625,,,,,,,,,,,
1947,0.05490,0.05490,0.00000,-0.02562,0.02134,-0.04696,-0.02346,0.00503,0.09006,0.00915,,,,,,,,,,,
1948,0.05425,0.06079,-0.00654,0.03365,0.02407,0.00958,0.04146,0.00811,0.02707,-0.02112,,,,,,,,,,,
1949,0.17763,0.07500,0.10263,0.06393,0.02247,0.04146,0.03319,0.01103,-0.01803,0.19748,,,,,,,,,,,
1950,0.30548,0.08770,0.21778,0.00059,0.02122,-0.02063,0.02115,0.01196,0.05791,0.38747,,,,,,,,,,,
1951,0.23370,0.06908,0.16462,-0.03983,0.02381,-0.06364,-0.02700,0.01493,0.05876,0.07804,,,,,,,,,,,
