,p,Mean,Raw Mean,Mean2,Raw Mean 2,Stdev
0,0.5,6.66698876404,7.66698876404,6.66698876404,7.66698876404,14.6876513978
1,0.51,6.84441370787,7.84458449438,6.84463302361,7.84458449438,14.7142213124
2,0.52,7.02194651685,8.02218022472,7.02237434162,8.02218022472,14.7386035155
3,0.53,7.19958719101,8.19977595506,7.20021271809,8.19977595506,14.7608088484
4,0.54,7.37733573034,8.37737168539,7.37814815301,8.37737168539,14.780847122
5,0.55,7.55519213483,8.55496741573,7.55618064638,8.55496741573,14.7987271392
6,0.56,7.73315640449,8.73256314607,7.73431019821,8.73256314607,14.8144567147
7,0.57,7.91122853933,8.9101588764,7.91253680848,8.9101588764,14.8280426919
8,0.58,8.08940853933,9.08775460674,8.09086047721,9.08775460674,14.8394909586
9,0.59,8.26769640449,9.26535033708,8.26928120439,9.26535033708,14.8488064591
10,0.6,8.44609213483,9.44294606742,8.44779899003,9.44294606742,14.8559932056
11,0.61,8.62459573034,9.62054179775,8.62641383411,9.62054179775,14.8610542863
12,0.62,8.80320719101,9.79813752809,8.80512573665,9.79813752809,14.8639918726
13,0.63,8.98192651685,9.97573325843,8.98393469764,9.97573325843,14.8648072235
14,0.64,9.16075370787,10.1533289888,9.16284071708,10.1533289888,14.8635006882
15,0.65,9.33968876404,10.3309247191,9.34184379498,10.3309247191,14.860071707
16,0.66,9.51873168539,10.5085204494,9.52094393132,10.5085204494,14.85451881
17,0.67,9.69788247191,10.6861161798,9.70014112612,10.6861161798,14.8468396143
18,0.68,9.8771411236,10.8637119101,9.87943537937,10.8637119101,14.8370308182
19,0.69,10.0565076404,11.0413076404,10.0588266911,11.0413076404,14.8250881947
20,0.7,10.2359820225,11.2189033708,10.2383150612,11.2189033708,14.8110065821
21,0.71,10.4155642697,11.3964991011,10.4179004898,11.3964991011,14.7947798728
22,0.72,10.595254382,11.5740948315,10.5975829769,11.5740948315,14.7764009997
23,0.73,10.7750523596,11.7516905618,10.7773625224,11.7516905618,14.7558619212
24,0.74,10.9549582022,11.9292862921,10.9572391264,11.9292862921,14.7331536028
25,0.75,11.1349719101,12.1068820225,11.1372127888,12.1068820225,14.7082659972
26,0.76,11.3150934831,12.2844777528,11.3172835097,12.2844777528,14.6811880214
27,0.77,11.4953229213,12.4620734831,11.497451289,12.4620734831,14.6519075313
28,0.78,11.6756602247,12.6396692135,11.6777161268,12.6396692135,14.6204112939
29,0.79,11.8561053933,12.8172649438,11.858078023,12.8172649438,14.5866849564
30,0.8,12.036658427,12.9948606742,12.0385369777,12.9948606742,14.5507130115
31,0.81,12.2173193258,13.1724564045,12.2190929908,13.1724564045,14.5124787607
32,0.82,12.3980880899,13.3500521348,12.3997460624,13.3500521348,14.4719642735
33,0.83,12.5789647191,13.5276478652,12.5804961924,13.5276478652,14.4291503422
34,0.84,12.7599492135,13.7052435955,12.7613433809,13.7052435955,14.3840164341
35,0.85,12.941041573,13.8828393258,12.9422876278,13.8828393258,14.3365406381
36,0.86,13.1222417978,14.0604350562,13.1233289332,14.0604350562,14.2866996074
37,0.87,13.3035498876,14.2380307865,13.3044672971,14.2380307865,14.2344684969
38,0.88,13.4849658427,14.4156265169,13.4857027194,14.4156265169,14.1798208952
39,0.89,13.6664896629,14.5932222472,13.6670352001,14.5932222472,14.1227287506
40,0.9,13.8481213483,14.7708179775,13.8484647393,14.7708179775,14.0631622909
41,0.91,14.0298608989,14.9484137079,14.029991337,14.9484137079,14.0010899358
42,0.92,14.2117083146,15.1260094382,14.2116149931,15.1260094382,13.936478202
43,0.93,14.3936635955,15.3036051685,14.3933357076,15.3036051685,13.8692915995
44,0.94,14.5757267416,15.4812008989,14.5751534806,15.4812008989,13.7994925189
45,0.95,14.7578977528,15.6587966292,14.7570683121,15.6587966292,13.7270411088
46,0.96,14.9401766292,15.8363923596,14.939080202,15.8363923596,13.6518951409
47,0.97,15.1225633708,16.0139880899,15.1211891504,16.0139880899,13.574009864
48,0.98,15.3050579775,16.1915838202,15.3033951572,16.1915838202,13.4933378432
49,0.99,15.4876604494,16.3691795506,15.4856982224,16.3691795506,13.4098287843
50,1.0,15.6703707865,16.5467752809,15.6680983462,16.5467752809,13.3234293413
